Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_166.jpg;0;0;0;2.163568;102.9909;90.5423;0.7507282;55.82219;0.0008236287
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_233.jpg;0;0;0;2.156712;103.0621;90.64653;0.5752715;55.81428;0.007963669
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_299.jpg;0;0;0;2.147465;103.1329;90.7504;0.394942;55.81038;0.02216406
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_366.jpg;0;0;0;2.14045;103.2268;90.88846;0.1547592;55.81009;0.04820005
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_433.jpg;-1.532736;0;0;2.133364;103.2973;90.99129;359.9753;55.73378;0.05291386
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_499.jpg;-4.507062;0;0;2.123279;103.3694;91.09277;359.8067;55.40321;0.007101316
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_566.jpg;-4.483873;0;0;2.11417;103.4678;91.22659;359.6367;54.6157;359.9101
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_633.jpg;-1.514559;0;0;2.106377;103.5413;91.32722;359.5461;54.2627;359.8725
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_699.jpg;0;0;0;2.096452;103.6142;91.42819;359.474;54.17792;359.8651
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_766.jpg;0;0;0;2.088754;103.7111;91.56297;359.4168;54.17088;359.8847
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_833.jpg;0;0;0;2.081519;103.7837;91.66382;359.3893;54.1742;359.9048
